Published,Headline
2019-02-21T10:00:01+0000,"While medicine transforms cancer into a chronic disease with which patients can live for an extended period of time, financial toxicity threatens to turn chronic, too."
2019-02-07T11:00:03+0000,"Our country has most of the best colleges in the world. Students should be able to afford them, and borrowers should not be crushed by debts."
2019-02-07T11:35:55+0000,"BB&T and SunTrust say they plan to join forces, in a deal that values the combined lenders at $66 billion."
2019-01-30T15:21:28+0000,Regulatory bodies agree on ambitious plan that would be realized within two years.
2019-01-18T01:16:59+0000,Personal finance luminaries and everyday investors share lessons from the late Vanguard founder. 
2019-01-16T11:00:03+0000,"Just like many Americans, many government workers don’t have much emergency money set aside. "
2019-02-07T13:08:02+0000,"If approved, the merger of BB&T and SunTrust would create the sixth-biggest bank in the U.S., large enough to compete against the country’s largest lenders."
2019-02-27T23:21:04+0000,Democrats focused on whether the president deliberately hid repayments to Michael Cohen from his 2017 financial disclosure form.
2019-01-17T21:00:15+0000,A new comedy from the creator of “Happy Endings” purports to reveal the hidden reasons for the 1987 crash. Hint: cocaine was involved.
2019-01-16T16:19:18+0000,"While trying to earn a degree, Eddie Rodriguez put himself in deep financial trouble. A Community Service Society program is offering the advice he needs."
2019-01-19T10:00:10+0000,"Across the country, pawnbrokers report they are seeing a steady trickle of federal employees, many of them first-time customers, looking for short-term loans."
2019-01-16T23:33:56+0000,"Beginning in 1974, Mr. Bogle built Vanguard Group into one of the world’s largest mutual fund companies, attracting investors in droves."
2019-02-22T20:16:41+0000,The Office of the Comptroller of the Currency said Mitsubishi-UFJ Group had not yet fixed its long-running inability to weed out illegal transactions at some of its branches.
2019-02-19T19:16:56+0000,"Quit the cult of busy. If you work with your head, your brain needs rest just like a cook’s hands or a soccer player’s legs do."
2019-02-18T10:00:08+0000,"For three men in their mid-20s, the goal was leaving dormlike life behind. Now they have a “hangout apartment” in the financial district."
2019-01-17T19:36:22+0000,A reader calls out reverse sexism in an Op-Ed article.
2019-02-20T20:04:15+0000,"Regulators said the uproar over the Danish lender, centered on its branch in Tallinn, had tarnished Estonia’s financial market."
2019-02-06T22:36:12+0000,"The agency’s new director reversed course on regulations intended to prevent borrowers from being caught in an endless cycle of short-term, high interest loans."
2019-01-02T20:39:58+0000,"Europe’s central bank took control of troubled Banca Carige, an unprecedented step to manage risk as Italy’s political and economic woes continue."
2019-01-11T12:00:03+0000,"Social media companies have made a big mistake, our columnist says. They have apologized for what they say are errors. He will proudly do bad things."
2019-02-12T11:00:07+0000,"Technology engineers have long served big profitable businesses well, while apps focusing on what more altruistic organizations need remained sparse. But that’s changing."
2019-02-14T11:56:17+0000,"The new token, each of which represent a U.S. dollar, will be used to settle payments between the bank’s clients."
2019-02-17T18:00:01+0000,A reader says a well-intentioned regulation could actually harm those of limited means for whom these loans are a last resort.
2019-01-14T17:01:27+0000,Years of research show female investors outperform men. But only about 1 in 5 brokers are women.
2019-01-07T17:47:48+0000,"In a world where things often feel static, there is inherent value in reminding yourself that you can change. Let’s call that adventure. What’s yours?"
2019-02-14T18:22:00+0000,"The Education Department failed to effectively manage its student loan collectors, a government audit said, increasing costs for borrowers and taxpayers."
2019-02-27T23:41:48+0000,Argosy University teetered on the edge of collapse after the federal government accused it of misusing money that was owed to students.
2019-02-22T22:21:41+0000,An unusually harsh rebuke a week after a deadly bombing in India shows waning patience over Pakistan’s treatment of militants.
2019-02-04T12:41:21+0000,"A government-appointed commission called for tougher regulations on the country’s financial industry, but a softening economy could hinder efforts to rein it in."
2019-02-14T14:21:13+0000,"The firm’s new digital token, JPM Coin, is another step in Wall Street’s evolving approach to using blockchain, the technology behind digital currencies."
2019-02-13T00:00:04+0000,The new head of the Consumer Financial Protection Bureau is seeking to gut rules that protect Americans from a predatory industry.
2019-01-10T11:00:04+0000,"The bond market reveals a growing crack in the financial system, but regulators are not doing enough to make sure that banks are prepared."
2019-01-03T20:36:02+0000,"Redistribution is important, but it comes too late. "
2019-02-05T14:25:40+0000,"Central banks bought 651 tonnes of gold in 2018, up 74 percent from the year earlier. Their reasoning may be sound."
2019-02-17T18:14:25+0000,"One thing is clear about the legacy of Brexit: Financial services will be spread across Europe, with no one city again dominating the financial arena as London has."
2019-01-08T02:48:36+0000,"The White House said Monday that Ms. Liang, an expert on financial regulation, had decided not to seek a seat on the Federal Reserve’s board."
2019-01-11T00:25:53+0000,"Agenda, a news service owned by The Financial Times, published an interview with someone claiming to be Mr. Moonves shortly after he was fired as chief executive of CBS."
2019-02-25T21:11:15+0000,"Amid speculation that Berlin will push a merger of Deutsche Bank and Commerzbank to ensure Germany has one big league lender, here are the pros and cons."
2019-02-07T08:14:52+0000,The big lender had been singled out for its business practices and what an official report said was little likelihood of change under its top executives.
2019-02-01T22:51:03+0000,"The investment bank’s board adopted a provision to claw back, or reduce, some of the pay packages they received last year, depending on the outcome of a federal inquiry into a fraud in Malaysia."
2019-01-04T12:28:50+0000,The Chinese central bank’s move is intended to send a signal that Beijing is ready to stem a slowdown that has darkened the global outlook.
2019-02-27T21:43:25+0000,"The president’s former lawyer, Michael Cohen, testified that Donald Trump presented documents to Deutsche Bank that “inflated” the value of his assets."
2019-01-29T15:26:08+0000,The State Department’s decision to turn over assets and property to Juan Guaidó is part of a Trump Administration effort to oust President Nicolás Maduro.
2019-01-07T23:26:25+0000,The recent volatility in the stock market can make older investors feel vulnerable. Here are some strategies to make sure your money lasts as long as you do.
2019-02-01T16:07:05+0000,Cutting back on nonessential spending for a month can help people pay down credit card balances or put money in savings. At least it’s a short month.
